plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
60,88,90,6,0.000606,1562.41,2429.07,4814.23,1
60,88,90,8,0.000807,1813.73,2769.19,4834.3,1
60,88,90,10,0.001009,2192.0,3183.12,4963.07,1
60,88,90,12,0.001211,2471.23,3436.25,4998.57,1
60,88,90,14,0.001413,2776.07,3702.33,5008.58,1
60,88,100,6,0.000669,1378.26,2223.78,4093.15,1
60,88,100,8,0.000892,1527.51,2447.6,4131.51,1
60,88,100,10,0.001115,1751.07,2633.99,4154.08,1
60,88,100,12,0.001338,2086.11,3007.04,4258.96,1
60,88,100,14,0.00156,2414.77,3282.56,4285.33,1
60,100,60,6,0.000472,3564.21,4660.86,9063.88,1
60,100,60,8,0.000629,4132.82,5197.48,9282.56,1
60,100,60,10,0.000786,5182.33,6293.72,9555.12,1
60,100,60,12,0.000944,6086.96,7042.99,9801.13,1
60,100,60,14,0.001101,6881.26,7918.8,9872.6,1
60,100,70,6,0.000523,2721.66,3753.36,7177.51,1
60,100,70,8,0.000697,3157.19,4239.29,7355.75,1
60,100,70,10,0.000871,3623.99,4674.31,7468.02,1
60,100,70,12,0.001046,4274.01,5283.3,7502.12,1
60,100,70,14,0.00122,4866.8,5819.68,7670.17,1
60,100,80,6,0.000578,1940.12,2896.84,5815.65,1
60,100,80,8,0.000771,2287.41,3314.47,5860.21,1
60,100,80,10,0.000963,2753.65,3742.5,6012.48,1
60,100,80,12,0.001156,3200.31,4129.82,5962.94,1
60,100,80,14,0.001348,3518.49,4409.05,6103.23,1
60,100,90,6,0.000637,1593.58,2559.18,4875.17,1
60,100,90,8,0.000849,1842.5,2853.51,4803.76,1
60,100,90,10,0.001062,2225.38,3283.78,5008.58,1
60,100,90,12,0.001274,2523.14,3507.75,5056.92,1
60,100,90,14,0.001486,2754.64,3667.01,5014.56,1
60,100,100,6,0.0007,1377.2,2197.4,4084.28,1
60,100,100,8,0.000934,1523.76,2440.3,4119.33,1
60,100,100,10,0.001167,1739.52,2621.47,4163.35,1
60,100,100,12,0.001401,2098.09,3014.7,4284.48,1
60,100,100,14,0.001634,2414.35,3277.15,4277.74,1
70,50,60,6,0.001634,2414.35,3277.15,4277.74,1
70,50,60,8,0.001634,2414.35,3277.15,4277.74,1
70,50,60,10,0.000584,4223.66,4904.89,8190.78,1
70,50,60,12,0.000706,4760.39,5712.19,8635.83,1
70,50,60,14,0.000828,5598.85,6180.26,9166.95,1
70,50,70,6,0.000828,5598.85,6180.26,9166.95,1
70,50,70,8,0.000828,5598.85,6180.26,9166.95,1
70,50,70,10,0.00067,3115.66,3755.5,6357.69,1
70,50,70,12,0.00081,3360.09,4004.63,6714.21,1
70,50,70,14,0.000951,4301.88,4789.79,7616.05,1
70,50,80,6,0.000951,4301.88,4789.79,7616.05,1
70,50,80,8,0.000951,4301.88,4789.79,7616.05,1
70,50,80,10,0.000762,2315.42,2947.69,5244.69,1
70,50,80,12,0.000923,2875.86,3588.64,6128.86,1
70,50,80,14,0.001084,3337.52,4013.03,6326.81,1
70,50,90,6,0.001084,3337.52,4013.03,6326.81,1
70,50,90,8,0.001084,3337.52,4013.03,6326.81,1
70,50,90,10,0.001084,3337.52,4013.03,6326.81,1
70,50,90,12,0.001044,2311.59,3034.37,5129.79,1
70,50,90,14,0.001226,2511.1,3204.69,5189.76,1
70,50,100,6,0.001226,2511.1,3204.69,5189.76,1
70,50,100,8,0.001226,2511.1,3204.69,5189.76,1
70,50,100,10,0.001226,2511.1,3204.69,5189.76,1
70,50,100,12,0.001173,1899.85,2628.09,4335.63,1
70,50,100,14,0.001378,2104.86,2842.68,4423.98,1
70,62,60,6,0.001378,2104.86,2842.68,4423.98,1
70,62,60,8,0.001378,2104.86,2842.68,4423.98,1
70,62,60,10,0.001378,2104.86,2842.68,4423.98,1
70,62,60,12,0.000768,5515.61,6248.86,9692.23,1
70,62,60,14,0.000902,6154.76,6711.37,9826.72,1
70,62,70,6,0.000902,6154.76,6711.37,9826.72,1
70,62,70,8,0.000902,6154.76,6711.37,9826.72,1
70,62,70,10,0.000902,6154.76,6711.37,9826.72,1
70,62,70,12,0.000873,3831.35,4503.2,7504.63,1
70,62,70,14,0.001025,4369.71,5034.14,7753.4,1
70,62,80,6,0.001025,4369.71,5034.14,7753.4,1
70,62,80,8,0.001025,4369.71,5034.14,7753.4,1
70,62,80,10,0.001025,4369.71,5034.14,7753.4,1
70,62,80,12,0.001025,4369.71,5034.14,7753.4,1
70,62,80,14,0.001158,3327.61,4061.4,6323.26,1
70,62,90,6,0.001158,3327.61,4061.4,6323.26,1
70,62,90,8,0.001158,3327.61,4061.4,6323.26,1
70,62,90,10,0.001158,3327.61,4061.4,6323.26,1
70,62,90,12,0.001158,3327.61,4061.4,6323.26,1
70,62,90,14,0.0013,2535.28,3264.73,5187.91,1
70,62,100,6,0.0013,2535.28,3264.73,5187.91,1
70,62,100,8,0.0013,2535.28,3264.73,5187.91,1
70,62,100,10,0.0013,2535.28,3264.73,5187.91,1
70,62,100,12,0.0013,2535.28,3264.73,5187.91,1
70,62,100,14,0.001451,2217.58,2926.71,4420.42,1
70,75,60,6,0.001451,2217.58,2926.71,4420.42,1
70,75,60,8,0.001451,2217.58,2926.71,4420.42,1
70,75,60,10,0.001451,2217.58,2926.71,4420.42,1
70,75,60,12,0.001451,2217.58,2926.71,4420.42,1
70,75,60,14,0.000982,5833.09,6376.4,9600.35,1
70,75,70,6,0.000479,2247.72,2956.3,6131.11,1
70,75,70,8,0.000635,2636.23,3224.44,6627.79,1
70,75,70,10,0.000791,3282.89,3918.98,7457.22,1
70,75,70,12,0.000948,3785.74,4449.84,7540.99,1
70,75,70,14,0.001106,4270.99,4926.51,7631.67,1
70,75,80,6,0.000538,1849.07,2576.98,5507.15,1
70,75,80,8,0.000713,2104.45,2722.37,5921.92,1
70,75,80,10,0.000888,2462.03,3089.13,6132.14,1
70,75,80,12,0.001063,2864.13,3501.15,6099.74,1
70,75,80,14,0.00124,3113.62,3767.82,6166.28,1
70,75,90,6,0.000602,1406.19,2099.36,4726.19,1
70,75,90,8,0.000798,1633.81,2266.81,5027.77,1
70,75,90,10,0.000992,1938.33,2598.95,5148.89,1
70,75,90,12,0.001188,2203.6,2926.84,5145.31,1
70,75,90,14,0.001384,2462.98,3158.84,5144.48,1
70,75,100,6,0.000671,1210.98,1800.02,4212.53,1
70,75,100,8,0.000888,1427.05,2026.85,4292.58,1
70,75,100,10,0.001105,1597.02,2275.86,4347.92,1
